Function,Iterations,Concatenations,OPS,Error,JVM,Computer
String Builder Passed In,10,32,2171303.79,16838.209,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100,32,171693.268,12309.047,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000,32,18245.405,719.256,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10000,32,2023.13,211.763,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100000,32,175.104,2.087,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000000,32,16.199,1.484,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1,64,11451926.16,291012.092,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10,64,999474.603,28455.902,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100,64,99835.031,2635.025,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000,64,7377.579,714.141,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,10000,64,609.22,87.759,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,100000,64,53.294,6.852,temurin-20.0.2,M2 Macbook Air
String Builder Passed In,1000000,64,4.804,0.465,temurin-20.0.2,M2 Macbook Air
